Parcel PIN,Unit Type,GIS Loud ID,Permit Year Issued,Planning Subarea,Project Subdivision,Town,Election District,Housing Units,POINT_X_SP,POINT_Y_SP
039470868000,SFA,250290,7/1/16,ASHBRN,OVERLOOK AT UNIVERSITY CENTER,,ALGONK,1,11783083.59,7071688.892
039471069000,SFA,250292,7/1/16,ASHBRN,OVERLOOK AT UNIVERSITY CENTER,,ALGONK,1,11783100.49,7071699.576
039471171000,SFA,250294,7/1/16,ASHBRN,OVERLOOK AT UNIVERSITY CENTER,,ALGONK,1,11783117.4,7071710.26
039471372000,SFA,250296,7/1/16,ASHBRN,OVERLOOK AT UNIVERSITY CENTER,,ALGONK,1,11783134.31,7071720.945
039471573000,SFA,250298,7/1/16,ASHBRN,OVERLOOK AT UNIVERSITY CENTER,,ALGONK,1,11783157.13,7071735.368
039471875000,SFA,250300,8/1/16,ASHBRN,OVERLOOK AT UNIVERSITY CENTER,,ALGONK,1,11783188.41,7071755.134
039472076000,SFA,250304,8/1/16,ASHBRN,OVERLOOK AT UNIVERSITY CENTER,,ALGONK,1,11783207.86,7071767.421
039472277000,SFA,250228,8/1/16,ASHBRN,OVERLOOK AT UNIVERSITY CENTER,,ALGONK,1,11783224.76,7071778.105
055157077000,SFA,241715,2/1/16,ASHBRN,THE VISTAS AT LANSDOWNE,,ASHBUR,1,11775702.49,7076777.817
055160277000,SFA,241658,6/1/16,ASHBRN,THE VISTAS AT LANSDOWNE,,ASHBUR,1,11776027.08,7076773.25
055257379000,SFA,241727,2/1/16,ASHBRN,THE VISTAS AT LANSDOWNE,,ASHBUR,1,11775733.65,7076798.681
055257581000,SFA,241719,2/1/16,ASHBRN,THE VISTAS AT LANSDOWNE,,ASHBUR,1,11775758.57,7076815.373
055257883000,SFA,241721,2/1/16,ASHBRN,THE VISTAS AT LANSDOWNE,,ASHBUR,1,11775783.5,7076832.064
055258084000,SFA,241713,2/1/16,ASHBRN,THE VISTAS AT LANSDOWNE,,ASHBUR,1,11775808.43,7076848.755
055258386000,SFA,241729,2/1/16,ASHBRN,THE VISTAS AT LANSDOWNE,,ASHBUR,1,11775839.61,7076869.601
055258608000,SFA,241644,8/1/16,ASHBRN,THE VISTAS AT LANSDOWNE,,ASHBUR,1,11775862.34,7077087.74
055258705000,SFA,241652,8/1/16,ASHBRN,THE VISTAS AT LANSDOWNE,,ASHBUR,1,11775879.75,7077054.526
055258902000,SFA,241653,8/1/16,ASHBRN,THE VISTAS AT LANSDOWNE,,ASHBUR,1,11775893.68,7077027.956
055259000000,SFA,241655,8/1/16,ASHBRN,THE VISTAS AT LANSDOWNE,,ASHBUR,1,11775907.61,7077001.385
055259296000,SFA,241647,8/1/16,ASHBRN,THE VISTAS AT LANSDOWNE,,ASHBUR,1,11775925.02,7076968.172
055259591000,SFA,241649,6/1/16,ASHBRN,THE VISTAS AT LANSDOWNE,,ASHBUR,1,11775950.55,7076919.46
055259688000,SFA,241651,6/1/16,ASHBRN,THE VISTAS AT LANSDOWNE,,ASHBUR,1,11775967.97,7076886.246
055259885000,SFA,241663,6/1/16,ASHBRN,THE VISTAS AT LANSDOWNE,,ASHBUR,1,11775981.89,7076859.676
055260080000,SFA,241656,6/1/16,ASHBRN,THE VISTAS AT LANSDOWNE,,ASHBUR,1,11776009.75,7076806.535
055269983000,SFA,241660,6/1/16,ASHBRN,THE VISTAS AT LANSDOWNE,,ASHBUR,1,11775995.82,7076833.105
056398953000,SFD,46731,9/1/16,ASHBRN,POTOMAC FARMS,,ALGONK,1,11779841.72,7074183.735
058304963000,MFS,248687,8/1/16,ASHBRN,ONE LOUDOUN LANDBAY A9,,BRDRUN,1,11780235.8,7066718.773
058304963000,MFS,248689,8/1/16,ASHBRN,ONE LOUDOUN LANDBAY A9,,BRDRUN,1,11780259.12,7066721.957
058304963000,MFS,248691,8/1/16,ASHBRN,ONE LOUDOUN LANDBAY A9,,BRDRUN,1,11780282.78,7066725.186
058304963000,MFS,248693,8/1/16,ASHBRN,ONE LOUDOUN LANDBAY A9,,BRDRUN,1,11780306.43,7066728.415
058304963000,MFS,248695,8/1/16,ASHBRN,ONE LOUDOUN LANDBAY A9,,BRDRUN,1,11780331.22,7066731.799
058304963000,MFS,248697,8/1/16,ASHBRN,ONE LOUDOUN LANDBAY A9,,BRDRUN,1,11780353.78,7066734.88
058304963000,MFS,248747,8/1/16,ASHBRN,ONE LOUDOUN LANDBAY A9,,BRDRUN,1,11780211.49,7066715.455
058304963000,MFS,248761,8/1/16,ASHBRN,ONE LOUDOUN LANDBAY A9,,BRDRUN,1,11780233.06,7066813.196
058304963000,MFS,248763,8/1/16,ASHBRN,ONE LOUDOUN LANDBAY A9,,BRDRUN,1,11780234.63,7066801.688
058304963000,MFS,248765,8/1/16,ASHBRN,ONE LOUDOUN LANDBAY A9,,BRDRUN,1,11780236.2,7066790.206
